Year,Price_nominal,Price_2018
1861,0.49,13.64
1862,1.05,26.30
1863,3.15,63.98
1864,8.06,128.88
1865,6.59,107.66
1866,3.74,63.88
1867,2.41,43.12
1868,3.63,68.20
1869,3.64,68.39
1870,3.86,76.34
1871,4.34,90.60
1872,3.64,75.99
1873,1.83,38.20
1874,1.17,25.86
1875,1.35,30.74
1876,2.56,60.12
1877,2.42,56.83
1878,1.19,30.84
1879,0.86,23.08
1880,0.95,24.62
1881,0.86,22.29
1882,0.78,20.21
1883,1.00,26.84
1884,0.84,23.38
1885,0.88,24.49
1886,0.71,19.76
1887,0.67,18.65
1888,0.88,24.49
1889,0.94,26.16
1890,0.87,24.22
1891,0.67,18.65
1892,0.56,15.59
1893,0.64,17.81
1894,0.84,24.28
1895,1.36,40.88
1896,1.18,35.47
1897,0.79,23.75
1898,0.91,27.36
1899,1.29,38.78
1900,1.19,35.77
1901,0.96,28.86
1902,0.80,23.12
1903,0.94,26.16
1904,0.86,23.94
1905,0.62,17.26
1906,0.73,20.32
1907,0.72,19.33
1908,0.72,20.04
1909,0.70,19.48
1910,0.61,16.37
1911,0.61,16.37
1912,0.74,19.18
1913,0.95,24.04
1914,0.81,20.22
1915,0.64,15.82
1916,1.10,25.28
1917,1.56,30.53
1918,1.98,32.99
1919,2.01,29.17
1920,3.07,38.46
1921,1.73,24.26
1922,1.61,24.10
1923,1.34,19.71
1924,1.43,20.99
1925,1.68,24.05
1926,1.88,26.66
1927,1.30,18.79
1928,1.17,17.14
1929,1.27,18.60
1930,1.19,17.89
1931,0.65,10.71
1932,0.87,15.98
1933,0.67,12.97
1934,1.00,18.74
1935,0.97,17.73
1936,1.09,19.74
1937,1.18,20.63
1938,1.13,20.13
1939,1.02,18.43
1940,1.02,18.25
1941,1.14,19.43
1942,1.19,18.32
1943,1.20,17.41
1944,1.21,17.26
1945,1.05,14.64
1946,1.12,14.39
1947,1.90,21.35
1948,1.99,20.74
1949,1.78,18.74
1950,1.71,17.82
1951,1.71,16.51
1952,1.71,16.17
1953,1.93,18.10
1954,1.93,18.01
1955,1.93,18.09
1956,1.93,17.82
1957,1.90,16.93
1958,2.08,18.06
1959,2.08,17.90
1960,1.90,16.09
1961,1.80,15.10
1962,1.80,14.93
1963,1.80,14.76
1964,1.80,14.55
1965,1.80,14.31
1966,1.80,13.92
1967,1.80,13.53
1968,1.80,12.99
1969,1.80,12.32
1970,1.80,11.63
1971,2.24,13.87
1972,2.48,14.89
1973,3.29,18.60
1974,11.58,59.00
1975,11.53,53.82
1976,12.80,56.47
1977,13.92,57.64
1978,14.02,54.00
1979,31.61,109.33
1980,36.83,112.24
1981,35.93,99.25
1982,32.97,85.79
1983,29.55,74.50
1984,28.78,69.56
1985,27.56,64.32
1986,14.43,33.06
1987,18.44,40.75
1988,14.92,31.68
1989,18.23,36.91
1990,23.73,45.58
1991,20.00,36.87
1992,19.32,34.58
1993,16.97,29.49
1994,15.82,26.80
1995,17.02,28.04
1996,20.67,33.08
1997,19.09,29.87
1998,12.72,19.59
1999,17.97,27.09
2000,28.50,41.55
2001,24.44,34.66
2002,25.02,34.93
2003,28.83,39.35
2004,38.27,50.87
2005,54.52,70.10
2006,65.14,81.14
2007,72.39,87.67
2008,97.26,113.43
2009,61.67,72.18
2010,79.50,91.54
2011,111.26,124.20
2012,111.67,122.13
2013,108.66,117.12
2014,98.95,104.95
2015,52.39,55.50
2016,43.73,45.76
2017,54.19,55.52
2018,71.31,71.31
