iso_code,continent,location,date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million
BGD,Asia,Bangladesh,2020-03-03,NA,NA
BGD,Asia,Bangladesh,2020-03-09,NA,NA
BGD,Asia,Bangladesh,2020-03-15,0.002,0
BGD,Asia,Bangladesh,2020-03-21,0.019,0.002
BGD,Asia,Bangladesh,2020-03-27,0.024,0.003
BGD,Asia,Bangladesh,2020-04-02,0.01,0.001
BGD,Asia,Bangladesh,2020-04-08,0.142,0.012
BGD,Asia,Bangladesh,2020-04-14,0.736,0.025
BGD,Asia,Bangladesh,2020-04-20,1.861,0.054
BGD,Asia,Bangladesh,2020-04-26,2.568,0.047
BGD,Asia,Bangladesh,2020-05-02,3.289,0.03
BGD,Asia,Bangladesh,2020-05-08,4.247,0.031
BGD,Asia,Bangladesh,2020-05-14,5.585,0.073
BGD,Asia,Bangladesh,2020-05-20,7.734,0.101
BGD,Asia,Bangladesh,2020-05-26,10.088,0.132
BGD,Asia,Bangladesh,2020-06-01,12.1,0.148
BGD,Asia,Bangladesh,2020-06-07,16.148,0.206
BGD,Asia,Bangladesh,2020-06-13,18.522,0.254
BGD,Asia,Bangladesh,2020-06-19,20.829,0.254
BGD,Asia,Bangladesh,2020-06-25,21.091,0.241
BGD,Asia,Bangladesh,2020-07-01,23.072,0.265
BGD,Asia,Bangladesh,2020-07-07,20.092,0.264
BGD,Asia,Bangladesh,2020-07-13,18.456,0.256
BGD,Asia,Bangladesh,2020-07-19,17.982,0.231
BGD,Asia,Bangladesh,2020-07-25,16.578,0.254
BGD,Asia,Bangladesh,2020-07-31,16.484,0.239
BGD,Asia,Bangladesh,2020-08-06,12.805,0.193
BGD,Asia,Bangladesh,2020-08-12,17.196,0.213
BGD,Asia,Bangladesh,2020-08-18,16.343,0.233
BGD,Asia,Bangladesh,2020-08-24,15.561,0.251
BGD,Asia,Bangladesh,2020-08-30,14.073,0.266
BGD,Asia,Bangladesh,2020-09-05,12.699,0.209
BGD,Asia,Bangladesh,2020-09-11,11.404,0.222
BGD,Asia,Bangladesh,2020-09-17,9.797,0.195
BGD,Asia,Bangladesh,2020-09-23,9.692,0.192
BGD,Asia,Bangladesh,2020-09-29,8.557,0.184
BGD,Asia,Bangladesh,2020-10-05,8.307,0.158
BGD,Asia,Bangladesh,2020-10-11,8.307,0.153
BGD,Asia,Bangladesh,2020-10-17,8.867,0.127
BGD,Asia,Bangladesh,2020-10-23,8.958,0.12
BGD,Asia,Bangladesh,2020-10-29,8.616,0.121
BGD,Asia,Bangladesh,2020-11-04,9.616,0.124
BGD,Asia,Bangladesh,2020-11-10,9.518,0.108
BGD,Asia,Bangladesh,2020-11-16,10.887,0.107
BGD,Asia,Bangladesh,2020-11-22,13.018,0.168
BGD,Asia,Bangladesh,2020-11-28,13.305,0.2
BGD,Asia,Bangladesh,2020-12-04,13.254,0.198
BGD,Asia,Bangladesh,2020-12-10,12.34,0.19
BGD,Asia,Bangladesh,2020-12-16,10.181,0.196
BGD,Asia,Bangladesh,2020-12-22,8.06,0.173
BGD,Asia,Bangladesh,2020-12-28,6.85,0.145
BGD,Asia,Bangladesh,2021-01-03,5.96,0.151
BGD,Asia,Bangladesh,2021-01-09,5.376,0.136
BGD,Asia,Bangladesh,2021-01-15,5.027,0.111
BGD,Asia,Bangladesh,2021-01-21,3.945,0.101
BGD,Asia,Bangladesh,2021-01-27,3.259,0.106
BGD,Asia,Bangladesh,2021-02-02,2.768,0.082
BGD,Asia,Bangladesh,2021-02-08,2.425,0.073
BGD,Asia,Bangladesh,2021-02-14,2.195,0.06
BGD,Asia,Bangladesh,2021-02-20,2.392,0.066
BGD,Asia,Bangladesh,2021-02-26,2.385,0.05
BGD,Asia,Bangladesh,2021-03-04,3.118,0.044
BGD,Asia,Bangladesh,2021-03-10,4.489,0.059
BGD,Asia,Bangladesh,2021-03-16,7.633,0.094
BGD,Asia,Bangladesh,2021-03-22,12.594,0.129
BGD,Asia,Bangladesh,2021-03-28,21.544,0.186
BGD,Asia,Bangladesh,2021-04-03,33.371,0.298
BGD,Asia,Bangladesh,2021-04-09,42.504,0.372
BGD,Asia,Bangladesh,2021-04-15,35.764,0.486
BGD,Asia,Bangladesh,2021-04-21,25.06,0.604
BGD,Asia,Bangladesh,2021-04-27,20.713,0.555
BGD,Asia,Bangladesh,2021-05-03,13.058,0.429
BGD,Asia,Bangladesh,2021-05-09,10.036,0.308
BGD,Asia,Bangladesh,2021-05-15,6.652,0.213
BGD,Asia,Bangladesh,2021-05-21,6.213,0.18
BGD,Asia,Bangladesh,2021-05-27,8.493,0.17
BGD,Asia,Bangladesh,2021-06-02,9.195,0.205
