iso_code,continent,location,date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million
IND,Asia,India,2020-01-31,NA,NA
IND,Asia,India,2020-02-06,0,0
IND,Asia,India,2020-02-12,0,0
IND,Asia,India,2020-02-18,0,0
IND,Asia,India,2020-02-24,0,0
IND,Asia,India,2020-03-01,0,0
IND,Asia,India,2020-03-07,0.003,0
IND,Asia,India,2020-03-13,0.005,0
IND,Asia,India,2020-03-19,0.013,0
IND,Asia,India,2020-03-25,0.052,0.001
IND,Asia,India,2020-03-31,0.089,0.003
IND,Asia,India,2020-04-06,0.365,0.011
IND,Asia,India,2020-04-12,0.581,0.024
IND,Asia,India,2020-04-18,0.753,0.024
IND,Asia,India,2020-04-24,1.054,0.03
IND,Asia,India,2020-04-30,1.22,0.045
IND,Asia,India,2020-05-06,2.063,0.073
IND,Asia,India,2020-05-12,2.577,0.075
IND,Asia,India,2020-05-18,3.06,0.089
IND,Asia,India,2020-05-24,4.435,0.103
IND,Asia,India,2020-05-30,5.218,0.136
IND,Asia,India,2020-06-05,6.49,0.173
IND,Asia,India,2020-06-11,7.331,0.221
IND,Asia,India,2020-06-17,8.317,0.428
IND,Asia,India,2020-06-23,10.571,0.266
IND,Asia,India,2020-06-29,13.108,0.298
IND,Asia,India,2020-07-05,15.434,0.333
IND,Asia,India,2020-07-11,18.256,0.352
IND,Asia,India,2020-07-17,22.585,0.43
IND,Asia,India,2020-07-23,29.428,0.517
IND,Asia,India,2020-07-29,35.524,0.527
IND,Asia,India,2020-08-04,38.984,0.58
IND,Asia,India,2020-08-10,42.746,0.654
IND,Asia,India,2020-08-16,44.781,0.676
IND,Asia,India,2020-08-22,47.1,0.696
IND,Asia,India,2020-08-28,50.545,0.699
IND,Asia,India,2020-09-03,56.858,0.719
IND,Asia,India,2020-09-09,63.401,0.796
IND,Asia,India,2020-09-15,67.311,0.846
IND,Asia,India,2020-09-21,65.468,0.845
IND,Asia,India,2020-09-27,60.778,0.793
IND,Asia,India,2020-10-03,57.644,0.754
IND,Asia,India,2020-10-09,52.368,0.681
IND,Asia,India,2020-10-15,48.066,0.587
IND,Asia,India,2020-10-21,41.392,0.554
IND,Asia,India,2020-10-27,35.115,0.424
IND,Asia,India,2020-11-02,33.25,0.372
IND,Asia,India,2020-11-08,33.576,0.414
IND,Asia,India,2020-11-14,31.762,0.364
IND,Asia,India,2020-11-20,28.687,0.366
IND,Asia,India,2020-11-26,31.617,0.368
IND,Asia,India,2020-12-02,27.77,0.355
IND,Asia,India,2020-12-08,24.476,0.335
IND,Asia,India,2020-12-14,20.952,0.285
IND,Asia,India,2020-12-20,17.749,0.254
IND,Asia,India,2020-12-26,16.214,0.222
IND,Asia,India,2021-01-01,16.222,0.221
IND,Asia,India,2021-01-07,13.117,0.163
IND,Asia,India,2021-01-13,12.093,0.144
IND,Asia,India,2021-01-19,10.403,0.123
IND,Asia,India,2021-01-25,9.836,0.107
IND,Asia,India,2021-01-31,9.304,0.095
IND,Asia,India,2021-02-06,8.301,0.075
IND,Asia,India,2021-02-12,8.12,0.065
IND,Asia,India,2021-02-18,8.57,0.069
IND,Asia,India,2021-02-24,10.012,0.072
IND,Asia,India,2021-03-02,11.319,0.081
IND,Asia,India,2021-03-08,12.449,0.071
IND,Asia,India,2021-03-14,16.143,0.09
IND,Asia,India,2021-03-20,24.853,0.119
IND,Asia,India,2021-03-26,36.607,0.174
IND,Asia,India,2021-04-01,47.254,0.253
IND,Asia,India,2021-04-07,73.179,0.407
IND,Asia,India,2021-04-13,110.977,0.612
IND,Asia,India,2021-04-19,168.894,0.981
IND,Asia,India,2021-04-25,233.059,1.693
IND,Asia,India,2021-05-01,268.869,2.405
IND,Asia,India,2021-05-07,282.37,2.735
IND,Asia,India,2021-05-13,264.514,2.923
IND,Asia,India,2021-05-19,214.158,2.982
IND,Asia,India,2021-05-25,171.994,2.913
IND,Asia,India,2021-05-31,126.932,2.553
IND,Asia,India,2021-06-06,89.279,2.079
IND,Asia,India,2021-06-12,65.284,2.446
IND,Asia,India,2021-06-18,48.073,1.869
IND,Asia,India,2021-06-24,38.473,1.017
IND,Asia,India,2021-06-30,34.043,0.774
IND,Asia,India,2021-07-06,31.14,0.596
IND,Asia,India,2021-07-12,29.746,0.777
IND,Asia,India,2021-07-18,27.935,0.553
IND,Asia,India,2021-07-24,27.519,0.719
